,Geography,Rate
0,Alameda,8.537500000000001
1,Butte,22.4
2,CALIFORNIA,9.781571428571429
3,Calaveras,33.9
4,Contra Costa,9.105
5,El Dorado,20.61
6,Fresno,11.902333333333333
7,Glenn,41.05
8,Humboldt,24.87
9,Imperial,15.6435
10,Kern,11.976500000000001
11,Kings,13.387
12,Lake,35.22
13,Lassen,24.91
14,Los Angeles,8.389199999999999
15,Madera,12.541
16,Marin,13.868000000000002
17,Mariposa,36.13
18,Mendocino,29.58
19,Merced,11.810500000000001
20,Monterey,11.808
21,Napa,15.06
22,Nevada,22.61
23,Orange,8.8762
24,Placer,14.77
25,Plumas,24.59
26,Riverside,9.2834
27,Sacramento,10.3158
28,San Bernardino,9.621
29,San Diego,10.488800000000001
30,San Francisco,11.069
31,San Joaquin,10.199
32,San Luis Obispo,16.5395
33,San Mateo,7.3439999999999985
34,Santa Barbara,14.151
35,Santa Clara,7.2415
36,Santa Cruz,14.192499999999999
37,Shasta,26.68
38,Siskiyou,28.82
39,Solano,11.155000000000001
40,Sonoma,11.5745
41,Stanislaus,10.617500000000001
42,Sutter,20.98
43,Tehama,20.78
44,Trinity,38.71
45,Tulare,11.8315
46,Tuolumne,29.43
47,Ventura,9.776
48,Yolo,12.666
49,Yuba,25.1
