,Strata Name,Year,Rate
0,AIAN-NH,2000-2002,7.718999999999999
1,AIAN-NH,2003-2005,8.865
2,AIAN-NH,2006-2008,9.211
3,AIAN-NH,2009-2011,11.73
4,AIAN-NH,2012-2014,11.7
5,AIAN-NH,2015-2017,14.13
6,Asian-NH,2000-2002,5.912583333333333
7,Asian-NH,2003-2005,5.967461538461539
8,Asian-NH,2006-2008,6.418785714285713
9,Asian-NH,2009-2011,7.141000000000001
10,Asian-NH,2012-2014,6.2459375
11,Asian-NH,2015-2017,7.449235294117647
12,Black-NH,2000-2002,6.873545454545454
13,Black-NH,2003-2005,6.152666666666666
14,Black-NH,2006-2008,7.3187000000000015
15,Black-NH,2009-2011,6.663222222222223
16,Black-NH,2012-2014,7.064272727272726
17,Black-NH,2015-2017,7.366818181818183
18,Hisp,2000-2002,4.186285714285714
19,Hisp,2003-2005,4.787624999999999
20,Hisp,2006-2008,4.335874999999999
21,Hisp,2009-2011,5.095
22,Hisp,2012-2014,4.949518518518517
23,Hisp,2015-2017,6.079500000000001
24,Multi-NH,2000-2002,2.088
25,Multi-NH,2003-2005,4.095666666666666
26,Multi-NH,2006-2008,6.161199999999999
27,Multi-NH,2009-2011,6.1745
28,Multi-NH,2012-2014,8.214000000000002
29,Multi-NH,2015-2017,8.594000000000001
30,NHPI-NH,2000-2002,7.59
31,NHPI-NH,2003-2005,9.139
32,NHPI-NH,2006-2008,7.961
33,NHPI-NH,2009-2011,10.53
34,NHPI-NH,2012-2014,9.804
35,NHPI-NH,2015-2017,9.196
36,White-NH,2000-2002,17.60604166666667
37,White-NH,2003-2005,17.193181818181817
38,White-NH,2006-2008,17.841162790697673
39,White-NH,2009-2011,19.73717391304348
40,White-NH,2012-2014,21.19717391304348
41,White-NH,2015-2017,21.82
